objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
tiutchev022,silentium-3.jpeg,,Иллюстрация к стихотворению «Silentium!»,image/jpeg,"Лишь жить в себе самом умей –
Есть целый мир в душе твоей
Таинственно-волшебных дум;
Их оглушит наружный шум,
Дневные разгонят лучи, –
Внимай их пенью – и молчи!..","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,The News Review; Frank B. Robinson,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/71.html
tiutchev023,son-na-more.jpeg,,Иллюстрация к стихотворению «Сон на море»,image/jpeg,"И море, и буря качали наш челн;
Я, сонный, был предан всей прихоти волн.
Две беспредельности были во мне,
И мной своевольно играли оне.
Вкруг меня, как кимвалы, звучали скалы́,
Окликалися ветры и пели валы.
Я в хаосе звуков лежал оглушен,
Но над хаосом звуков носился мой сон.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Duesenberg Convertible Coupe,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/72.html
tiutchev024,son-na-more-2.jpeg,,Иллюстрация к стихотворению «Сон на море»,image/jpeg,"Но все грезы насквозь, как волшебника вой,
Мне слышался грохот пучины морской,
И в тихую область видений и снов
Врывалася пена ревущих валов.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Duesenberg Convertible Coupe; Public Square,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/72.html
tiutchev025,o-chem-ty-voesh.jpeg,,Иллюстрация к стихотворению «О чем ты воешь ветр ночной?..»,image/jpeg,"О! страшных песен сих не пой!
Про древний хаос, про родимый
Как жадно мир души ночной
Внимает повести любимой!
Из смертной рвется он груди,
Он с беспредельным жаждет слиться!..
О! бурь заснувших не буди –
Под ними хаос шевелится!..","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Duesenberg Convertible Coupe; Home,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/87.html
tiutchev026,ne-to-chto-mnite.jpeg,,"Иллюстрация к стихотворению «Не то, что мните вы, природа...»",image/jpeg,"Не то, что мните вы, природа:
Не слепок, не бездушный лик –
В ней есть душа, в ней есть свобода,
В ней есть любовь, в ней есть язык...","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Daily Idahoan; Psychiana Staff,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/114.html
tiutchev027,den-i-noch.jpeg,,Иллюстрация к стихотворению «День и ночь»,image/jpeg,"На мир таинственный духов,
Над этой бездной безымянной,
Покров наброшен златотканый
Высокой волею богов.
День – сей блистательный покров
День, земнородных оживленье,
Души болящей исцеленье,
Друг человеков и богов!","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Pipe Organ,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/128.html
tiutchev028,den-i-noch-2.jpeg,,Иллюстрация к стихотворению «День и ночь»,image/jpeg,"Но меркнет день – настала ночь;
Пришла – и, с мира рокового
Ткань благодатную покрова
Сорвав, отбрасывает прочь...
И бездна нам обнажена
С своими страхами и мглами,
И нет преград меж ей и нами –
Вот отчего нам ночь страшна!","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/128.html
tiutchev029,konchen-pir.jpeg,,"Иллюстрация к стихотворению «Кончен пир, умолкли хоры...»",image/jpeg,"Кончен пир, умолкли хоры,
Опорожнены амфоры,
Опрокинуты корзины,
Не допиты в кубках вины,
На главах венки измяты, –
Лишь курятся ароматы
В опустевшей светлой зале...","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Daily Idahoan; Psychiana Staff,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/153.html
tiutchev030,dva-golosa.jpeg,,Иллюстрация к стихотворению «Два голоса»,image/jpeg,"Пусть в горнем Олимпе блаженствуют боги:
Бессмертье их чуждо труда и тревоги;
Тревога и труд лишь для смертных сердец...
Для них нет победы, для них есть конец.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/168.html
tiutchev031,bliznetsy.jpeg,,Иллюстрация к стихотворению «Близнецы»,image/jpeg,"Есть близнецы – для земнородных
Два божества – то Смерть и Сон,
Как брат с сестрою дивно сходных –
Она угрюмей, кротче он...","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Psychiana Headquarters; Psychiana Staff; Lessons,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/173.html
tiutchev032,bliznetsy-2.jpeg,,Иллюстрация к стихотворению «Близнецы»,image/jpeg,"Но есть других два близнеца –
И в мире нет четы прекрасней,
И обаянья нет ужасней,
Ей предающего сердца...
Союз их кровный, не случайный,
И только в роковые дни
Своей неразрешимой тайной
Обворожают нас они.","Boris Orekhov, kandinsky 2.1, Fiodor Tiutchev",,2023-04-17,,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,"Тютчев Ф.И. Полное собрание стихотворений / Сост., подгот. текста и примеч. А.А. Николаева. – Л.: Сов. писатель, 1987. – 448 с. (Б-ка поэта. Большая серия)",,,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://fusionbrain.ai/static/fusion/docs/agreement.pdf,Image;StillImage,rus,https://www.ruthenia.ru/tiutcheviana/stihi/bp/173.html
